Row,Parent Feature Summary,Story Summary,WAF Run/Change,WAF Color,WAF Category,WAF Sub-Category,Confidence
695,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to drive continuous improvement,Change,GREEN,Other Blocked Priority,Acquisition improvements,MEDIUM
696,Security & Vulnerability Management,Update security scanning rules and suppression logic to enable required business functionality,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
697,Continuous Improvement Feature,Improve observability and logging standards as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Observability,HIGH
698,Migrated Delivery,Resolve post-migration defects impacting service delivery to drive continuous improvement,Change,GREEN,Other Blocked Priority,Post-migration improvements,MEDIUM
699,Migrated Delivery,Address technical debt introduced during migration to unblock dependent teams,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM
700,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
701,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to drive continuous improvement,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
702,Migrated Delivery,Address technical debt introduced during migration to drive continuous improvement,Change,GREEN,Other Blocked Priority,Post-migration improvements,MEDIUM
703,Migrated Delivery,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
704,Migrated Delivery,Address technical debt introduced during migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
705,Migrated Delivery,Address technical debt introduced during migration to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
706,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
707,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
708,Continuous Improvement Feature,Improve observability and logging standards to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
709,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
710,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
711,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to enable required business functionality,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
712,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to drive continuous improvement,Change,GREEN,Other Blocked Priority,Resilience improvements,MEDIUM
713,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
714,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
715,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
716,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to enable required business functionality,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM
717,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
718,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to enable required business functionality,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
719,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
720,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
721,Continuous Improvement Feature,Improve observability and logging standards to unblock dependent teams,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
722,Migrated Delivery,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
723,Migrated Delivery,Stabilize workloads following platform migration to drive continuous improvement,Change,GREEN,Other Blocked Priority,Post-migration improvements,MEDIUM
724,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
725,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to drive continuous improvement,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
726,Migrated Delivery,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
727,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to support production operations,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH
728,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to enable required business functionality,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
729,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to enable required business functionality,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM
730,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
731,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
732,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
733,Acquisitions ART Production Support,Stabilize acquisition-related batch processing as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
734,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to support production operations,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH
735,Security & Vulnerability Management,Harden service configurations based on security findings to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
736,Migrated Delivery,Stabilize workloads following platform migration to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
737,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
738,Security & Vulnerability Management,Harden service configurations based on security findings to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
739,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
740,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
741,Migrated Delivery,Address technical debt introduced during migration to unblock dependent teams,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM
742,Migrated Delivery,Stabilize workloads following platform migration as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
